Tm_avg,Tx_avg,P_avg,Extreme_Heat_Count,Annual_Yield,Yield_Std_5yr,Tm_z,Tx_z,P_z,Cumulative_Heat,Stability
1.3340073463240842,0.5206482907634027,-0.791702924,-0.242569483,43.4,5.446833942759748,1.3463026048222557,0.5254469939633598,-0.798999879,27046,medium
0.6195585716035495,0.674007948,0.33041137026013234,-0.434370495,40.2,5.795515507700733,0.6252689095665408,0.6802201341072821,0.3334567007219735,27550,low
1.7173701034911997,1.8071654150686898,-1.532485898,-0.08645238,46.1,3.3312159941978385,1.7331987339838584,1.8238216696151563,-1.54661049,28132,medium
-0.373699481,0.086129262,0.5398310296011329,-0.630631995,47.6,3.1932741817763564,-0.377143789,0.086923097,0.5448065359748923,28592,high
-2.185959788,-2.052385958,-0.863593255,-1.620860476,48.3,1.2049896265111169,-2.206107308,-2.071302357,-0.871552808,28830,high
-0.208156472,-0.55286931,-1.729402891,-0.960708156,45.9,1.2833549781722144,-0.210075006,-0.557964987,-1.745342425,29216,high
0.7328248407665611,1.0318471481032525,-1.501229232,-0.34962121,45.5,2.544209110902515,0.7395791295461053,1.0413574611097696,-1.515065739,29739,high
0.061940016,0.15428910966984474,0.5554593623877762,-1.304165782,45.6,2.8257742301888533,0.062510904,0.15571115917510045,0.5605789117400369,30048,high
-0.51310412,-0.143910224,-1.076138581,-0.336239744,51.4,3.339610755761719,-0.51783329,-0.145236613,-1.086057118,30574,medium
-1.227552895,-1.720106701,-0.482261935,-1.518269237,44.1,3.6156603822814004,-1.238866985,-1.735960554,-0.486706839,30835,medium
0.33203650372821253,0.026489395334883797,-1.646572727,-0.630631995,50.7,3.233728498188934,0.3350968126953385,0.026733542388499513,-1.661748834,31295,high
0.7763887904446423,0.6228880622313733,-1.735654224,-0.675236882,51.9,3.233728498188934,0.7835445987690145,0.6286290873926423,-1.751651375,31745,high
-0.600232019,-0.297269881,-1.651261227,-0.764446655,48,1.6133815419791986,-0.605764229,-0.300009753,-1.666480546,32175,high
0.5847074118610844,0.40136855738410726,-1.546551397,-0.34962121,51.4,1.6133815419791986,0.5900965341882133,0.40506788496253365,-1.560805629,32698,high
1.255592236903537,0.4610084240737535,-0.918292419,-0.996392065,51.8,1.6133815419791986,1.267164760221018,0.4652574394629452,-0.926756123,33076,high
